symbol,timestamp,open,high,low,close,volume,transactions
O:SPXW241101C05800000,1730390700000,5.1,5.5,4.8,5.4,226,60
O:SPXW241101C05800000,1730391000000,5.4,5.5,4.9,5.25,122,42
O:SPXW241101C05800000,1730391300000,5.4,6.0,5.3,5.77,51,31
O:SPXW241101C05800000,1730391600000,5.8,6.4,5.5,5.6,66,35
O:SPXW241101C05800000,1730391900000,5.6,5.6,4.9,5.6,371,38
O:SPXW241101C05800000,1730392200000,5.3,5.4,4.9,4.9,32,14
O:SPXW241101C05800000,1730392500000,4.8,5.2,4.8,5.0,29,14
O:SPXW241101C05800000,1730392800000,5.2,5.6,5.02,5.59,36,18
O:SPXW241101C05800000,1730393100000,5.7,5.7,5.1,5.27,39,9
O:SPXW241101C05800000,1730393400000,5.07,5.31,5.07,5.31,25,14
O:SPXW241101C05800000,1730393700000,5.5,5.5,4.9,5.0,44,24
O:SPXW241101C05800000,1730394000000,4.89,5.7,4.89,5.47,62,28
O:SPXW241101C05800000,1730394300000,5.6,5.9,5.4,5.9,48,12
O:SPXW241101C05800000,1730394600000,5.92,5.92,5.2,5.7,79,41
O:SPXW241101C05800000,1730394900000,5.5,5.8,5.4,5.66,81,16
O:SPXW241101C05800000,1730395200000,5.6,5.9,5.6,5.8,24,12
O:SPXW241101C05800000,1730395500000,5.9,6.01,5.12,5.12,55,29
O:SPXW241101C05800000,1730395800000,5.0,5.1,4.4,4.65,94,38
O:SPXW241101C05800000,1730396100000,4.6,4.7,4.2,4.2,61,25
O:SPXW241101C05800000,1730396400000,4.2,4.5,3.87,3.9,41,28
O:SPXW241101C05800000,1730396700000,3.9,3.9,3.4,3.67,118,46
O:SPXW241101C05800000,1730397000000,3.6,3.8,3.4,3.5,2160,38
O:SPXW241101C05800000,1730397300000,3.2,3.4,3.2,3.4,27,16
O:SPXW241101C05800000,1730397600000,3.41,3.41,3.06,3.2,92,25
O:SPXW241101C05800000,1730397900000,3.28,3.6,3.0,3.1,88,44
O:SPXW241101C05800000,1730398200000,3.03,3.3,2.95,3.2,134,34
O:SPXW241101C05800000,1730398500000,3.11,3.11,2.81,2.81,49,25
O:SPXW241101C05800000,1730398800000,3.01,3.3,2.92,3.3,48,27
O:SPXW241101C05800000,1730399100000,3.0,3.3,3.0,3.3,36,13
O:SPXW241101C05800000,1730399400000,3.38,3.5,2.87,3.4,142,53
O:SPXW241101C05800000,1730399700000,3.55,3.55,3.1,3.5,142,21
O:SPXW241101C05800000,1730400000000,3.38,3.41,3.1,3.1,55,21
O:SPXW241101C05800000,1730400300000,3.3,3.3,2.7,2.7,34,23
O:SPXW241101C05800000,1730400600000,2.85,3.0,2.82,2.95,42,20
O:SPXW241101C05800000,1730400900000,2.94,3.4,2.94,3.3,98,28
O:SPXW241101C05800000,1730401200000,3.35,3.7,3.3,3.6,103,30
O:SPXW241101C05800000,1730401500000,3.6,4.3,3.5,4.3,100,49
O:SPXW241101C05800000,1730401800000,4.36,4.5,3.9,4.5,71,54
O:SPXW241101C05800000,1730402100000,4.5,4.7,4.07,4.7,124,50
O:SPXW241101C05800000,1730402400000,4.72,5.11,4.5,4.6,340,73
O:SPXW241101C05800000,1730402700000,4.6,4.62,4.15,4.2,48,42
O:SPXW241101C05800000,1730403000000,4.3,4.4,3.6,3.8,610,56
O:SPXW241101C05800000,1730403300000,3.6,4.0,3.6,3.7,100,36
O:SPXW241101C05800000,1730403600000,3.64,4.18,3.47,4.0,85,46
O:SPXW241101C05800000,1730403900000,4.0,4.8,3.9,4.5,160,66
O:SPXW241101C05800000,1730404200000,4.7,4.8,2.65,2.65,383,110
O:SPXW241101C05800000,1730404500000,2.68,3.1,1.65,1.8,976,239
O:SPXW241101C05800000,1730404800000,1.6,3.0,1.6,2.25,414,117
O:SPXW241101C05800000,1730405100000,2.1,2.3,1.85,2.04,219,62
O:SPXW241101C05800000,1730405400000,2.1,2.21,1.8,1.85,142,61
O:SPXW241101C05800000,1730467800000,0.55,0.65,0.45,0.65,1778,358
O:SPXW241101C05800000,1730468100000,0.6,0.97,0.55,0.97,1151,294
O:SPXW241101C05800000,1730468400000,0.97,1.05,0.75,0.9,1347,346
O:SPXW241101C05800000,1730468700000,0.85,0.95,0.7,0.9,704,249
O:SPXW241101C05800000,1730469000000,0.9,1.0,0.75,0.85,484,192
O:SPXW241101C05800000,1730469300000,0.83,0.95,0.8,0.85,509,182
O:SPXW241101C05800000,1730469600000,0.9,1.0,0.5,0.55,901,297
O:SPXW241101C05800000,1730469900000,0.5,1.0,0.5,0.95,1172,350
O:SPXW241101C05800000,1730470200000,0.95,1.25,0.9,1.05,1159,549
O:SPXW241101C05800000,1730470500000,1.0,1.25,0.9,1.15,1098,382
O:SPXW241101C05800000,1730470800000,1.22,1.25,0.95,1.07,947,298
O:SPXW241101C05800000,1730471100000,1.1,1.9,1.05,1.9,1427,543
O:SPXW241101C05800000,1730471400000,1.95,2.05,1.15,1.25,1634,613
O:SPXW241101C05800000,1730471700000,1.2,1.3,0.8,0.88,948,323
O:SPXW241101C05800000,1730472000000,0.9,0.95,0.45,0.55,991,331
O:SPXW241101C05800000,1730472300000,0.57,0.6,0.35,0.52,666,271
O:SPXW241101C05800000,1730472600000,0.55,0.55,0.35,0.4,353,129
O:SPXW241101C05800000,1730472900000,0.37,0.6,0.35,0.55,311,144
O:SPXW241101C05800000,1730473200000,0.57,0.65,0.45,0.65,1469,192
O:SPXW241101C05800000,1730473500000,0.6,0.65,0.45,0.45,945,153
O:SPXW241101C05800000,1730473800000,0.5,0.8,0.5,0.8,449,154
O:SPXW241101C05800000,1730474100000,0.77,1.0,0.55,0.7,593,224
O:SPXW241101C05800000,1730474400000,0.65,0.7,0.45,0.7,336,96
O:SPXW241101C05800000,1730474700000,0.65,0.87,0.55,0.8,307,133
O:SPXW241101C05800000,1730475000000,0.75,0.8,0.5,0.55,407,151
O:SPXW241101C05800000,1730475300000,0.5,0.6,0.45,0.5,331,104
O:SPXW241101C05800000,1730475600000,0.52,0.55,0.4,0.45,347,123
O:SPXW241101C05800000,1730475900000,0.42,0.45,0.3,0.32,417,106
O:SPXW241101C05800000,1730476200000,0.3,0.32,0.25,0.28,631,188
O:SPXW241101C05800000,1730476500000,0.27,0.3,0.2,0.3,318,84
O:SPXW241101C05800000,1730476800000,0.27,0.35,0.25,0.28,89,48
O:SPXW241101C05800000,1730477100000,0.27,0.3,0.25,0.3,243,57
O:SPXW241101C05800000,1730477400000,0.3,0.33,0.25,0.28,223,43
O:SPXW241101C05800000,1730477700000,0.27,0.3,0.2,0.25,212,73
O:SPXW241101C05800000,1730478000000,0.25,0.25,0.2,0.22,187,72
O:SPXW241101C05800000,1730478300000,0.2,0.25,0.15,0.15,258,65
O:SPXW241101C05800000,1730478600000,0.17,0.3,0.15,0.3,472,84
O:SPXW241101C05800000,1730478900000,0.2,0.25,0.2,0.25,106,30
O:SPXW241101C05800000,1730479200000,0.2,0.25,0.1,0.18,341,73
O:SPXW241101C05800000,1730479500000,0.15,0.2,0.1,0.15,707,128
O:SPXW241101C05800000,1730479800000,0.12,0.15,0.1,0.12,104,26
O:SPXW241101C05800000,1730480100000,0.15,0.15,0.05,0.1,184,58
O:SPXW241101C05800000,1730480400000,0.1,0.15,0.05,0.07,151,83
